№;Бренд;Модель;P';Ссылка;;руб.;$;Штрихкод;Диаметр;Высота;Вес;Напряжение;Цок.;Вид;Тип;Подтип;Мат;Лм';Экв';Цвет';Ra;Срок;Гар;Изг;Дим;Вык;P;Лм;Экв;Цвет;CRI;CQS;R9;Угол;Пульс;PF;Дата;Итог;Umin;Драйвер;Tmax;Актуальна;Поле 1;Поле 2;Поле 3;Поле 4;Поле 5
33;OSRAM;Classic A FR 75W 230V;75;http://www.OSRAM.ru;;10;;4008321419682;55;94;;230;E27;Bulb;STD;;1;935;75;2700;;1000;;;1;1;74.8;991;;2827;98.8;;100;316;13;1;24.01.2016;4.0;;;;1
34;Camelion;95/A/CL/E27;95;;;10;;4895117846285;50;88;;220-240;E27;Bulb;STD;;1;1250;95;2700;;1000;;;1;1;98.1;1305;;2800;98.7;;99;297;11;1;24.01.2016;4.0;;;;1
35;Ecola;G4FW33ELC;3.3;http://ecola.ru/catalogue3.html;;160;;6925587241445;39;67;;220;E14;R39;LED;;1;250;30;2800;;30000;;;0;2;3;246;40;3073;72.6;;-18;102;75;0.34;23.03.2015;1.0;;;;1
36;BBK;A1003F;10;http://bbk.ru/production/light/led_lamps/a1003f/;http://ledroid.ru/bbk-e27-10w-3000k/;286;;4897030807763;65;122;;220;E27;Bulb;LED;;1;835;75;3000;;30000;;;0;1;7.9;626;65;3021;73.2;;-17;133;1;0.66;29.07.2014;2.4;;;;1
37;BBK;A703F;7;http://bbk.ru/production/light/led_lamps/a703f/;http://ledroid.ru/bbk-7w-e27/;191;;4897030807749;60;114;;220;E27;Bulb;LED;;1;520;50;3000;;30000;;;0;1;7.4;533;55;3052;77.3;;-2;178;2;0.51;18.11.2014;3.5;;;;1
38;Gauss;LD102502113;13.5;;;;;4627081051484;60;125;;100-240;E27;Bulb;LED;;1;1170;100;2700;;50000;;;0;1;13;1102;95;2999;73.7;;-14;192;1;0.59;29.07.2014;2.9;;;;0
39;Gauss;LD102502110;10;http://www.gauss-russia.ru/catalog/item/64;http://ledroid.ru/gauss-led-a60-10w-e27-2700k-1-10-40/;352;;4627081051446;60;120;;100-240;E27;Bulb;LED;;1;890;75;2700;;50000;;;0;3;9.1;822;80;3002;73.5;;-14;197;3;0.58;29.07.2014;2.9;;;;0
40;Gauss;EB103101106;6;http://www.gauss-online.ru/gauss/2854/eb103101106-svecha-6vt-e14-2700k-led/;http://ledroid.ru/eb103102105-gauss-led-candle-5w-e27-2700k/;162;;4627081054461;37;107;;220-240;E14;Candle;LED;;1;510;60;2700;;35000;;;0;1;5.8;468;50;3084;72.8;;-18;220;1;0.52;29.07.2014;2.9;;;;0
41;Gauss;LD33116;6;http://www.gauss-russia.ru/catalog/item/371;http://ledroid.ru/gauss-led-elementary-candle-6w-e14-2700k-1-10-50/;203;;4627081051651;38;112;;100-240;E14;Candle;LED;;1;540;60;2700;;25000;;;0;0;5.9;521;55;3079;75.7;;-10;205;2;0.56;29.07.2014;3.5;;;;1
42;Gauss;HA103201105-D;5;http://www.gauss-online.ru/gauss/2852/ha103201105-d-svecha-prozrachnaia-5vt-e14-2700k-led/;http://ledroid.ru/gauss-led-candle-dim-crystal-clear-5w-e14-2700k-dimmiruemaya/;327;;4627081050746;35;122;;220-240;E14;Candle;LED;;0;400;60;2700;;50000;;;1;1;6.7;278;35;2754;82.9;;16;257;59;0.5;29.07.2014;0.4;;;;0
